幸福E家 高档小区 电梯小高层 精装修 两室 家具家电齐全,幸福e家富乐园(五期五区),2900 元/月,https://dl.zu.anjuke.com/fangyuan/1222989915
限女生！！！中城公园里精装单间出租近南沙熟食品交易市场软件园,中城公园里,1000 元/月,https://dl.zu.anjuke.com/fangyuan/1222499076
凯丹广场对面 东港绿地中心 一室豪华装修 北向海景房佳兆业等,绿地中心,3500 元/月,https://dl.zu.anjuke.com/fangyuan/1223126948
万达广场 前排 南向 110平 工作室出租 看房方便 有钥匙,万达广场,4500 元/月,https://dl.zu.anjuke.com/fangyuan/1223114869
特价房 星天悦一室 带衣帽间,星光耀广场(商住楼),3500 元/月,https://dl.zu.anjuke.com/fangyuan/1223061330
港湾隽景 民主广场 一室多套出租  可短租押一付一,港湾隽景,1800 元/月,https://dl.zu.anjuke.com/fangyuan/1223149170
水师营 新加坡花园 三室 精装修 1800月 拎包即住,新加坡花园,1800 元/月,https://dl.zu.anjuke.com/fangyuan/1222502092
急租，家电齐全。近亿达春田。近万科.有钥匙,中海凤凰熙岸,1850 元/月,https://dl.zu.anjuke.com/fangyuan/1223122521
北京街 万达高层 鞍山路 体育场 黄河路 长春路看房方便,北京街小区,2300 元/月,https://dl.zu.anjuke.com/fangyuan/1222773667
民主广场港湾隽景月付月付，新房家电齐全，拎包即住，随时看房，,港湾隽景,2000 元/月,https://dl.zu.anjuke.com/fangyuan/1222630636
市场街 129街地铁站 人民广场 希望广场 青泥洼桥 唐山街,市场街195号小区,1100 元/月,https://dl.zu.anjuke.com/fangyuan/1223141959
金州区 峰景西海岸 包物业取暖 家电齐全 拎包入住 南北向,峰景西海岸,1500 元/月,https://dl.zu.anjuke.com/fangyuan/1223063666
华南红星精装修55平开间适合办公可办执照楼层好采光好,红星国际广场小区,2500 元/月,https://dl.zu.anjuke.com/fangyuan/1222476567
6楼7顶 华南沃尔玛 华东人家 美辰香醒 家电齐全,宏孚小区,1600 元/月,https://dl.zu.anjuke.com/fangyuan/1222482015
就是便宜，石道街附近，交通便利，中层，有阳台。,迎春小区,700 元/月,https://dl.zu.anjuke.com/fangyuan/1222322010
新起屯乐购对面精装修一室一厅家具家电全是新的近车站看房房方便,新起屯,1700 元/月,https://dl.zu.anjuke.com/fangyuan/1222723580
"星海公园附近，近熟食家里看海10.33,37,15,528等",玉门小区,1500 元/月,https://dl.zu.anjuke.com/fangyuan/1222823966
锦云南园派出所（合租房）没有坡可洗澡做饭下楼就是公交站,锦云南园,650 元/月,https://dl.zu.anjuke.com/fangyuan/1222272435
T中心裕景 欧式装修 大落地窗视野好 户型方正拎包即住有钥匙,大连中心裕景,4300 元/月,https://dl.zu.anjuke.com/fangyuan/1223144477
78平米 双阳卧室 干净整洁 2000就租 采光好 有钥匙随,开建阳光馨苑,2000 元/月,https://dl.zu.anjuke.com/fangyuan/1223292377
交大两室一厅交通购物便利,西林街小区,2200 元/月,https://dl.zu.anjuke.com/fangyuan/1223307728
海景园 邻近东港一小 两室 家具齐全拎包入住 电视 宽带都有,海景园,2600 元/月,https://dl.zu.anjuke.com/fangyuan/1223036736
华润置地考拉住区 年轻人单身公寓首要选择地 精装修 拎包即住,华润置地考拉住区,1800 元/月,https://dl.zu.anjuke.com/fangyuan/1222986173
台山 2室 近软件园  车站  市场交通便利,台扩小区,1550 元/月,https://dl.zu.anjuke.com/fangyuan/1223245543
名仕财富 全新装修120平写字间 出租,名仕财富,6000 元/月,https://dl.zu.anjuke.com/fangyuan/1223091985
亲海园 高新园区 小平岛 七贤岭 近腾飞软件园首月0租金,亲海园A2组团,900 元/月,https://dl.zu.anjuke.com/fangyuan/1222506021
红星海艺墅高档社区一线海景精装三室 首 次 出租，173平,艺墅,7000 元/月,https://dl.zu.anjuke.com/fangyuan/1222542992
出租，百年港湾敞开的一室一厅，办公自住均可,百年港湾,2800 元/月,https://dl.zu.anjuke.com/fangyuan/1222587785
骏腾名苑 2室1厅精装修 南北通透两室SHOU次出租,骏腾名苑,2100 元/月,https://dl.zu.anjuke.com/fangyuan/1222757377
黄浦路 万达广场 华录园 独立一室一厅 手慢无！ 超便宜,华录园,1850 元/月,https://dl.zu.anjuke.com/fangyuan/1222321775
钻石湾未来里公建 可三层人流量大 随时看房,钻石湾,8300 元/月,https://dl.zu.anjuke.com/fangyuan/1222052492
临近地铁 家电齐全 拎包入住 价格优惠 集体看房 看好就来.,千山心城,1000 元/月,https://dl.zu.anjuke.com/fangyuan/1222596899
急租林茂小区2室近40路车站家具家电齐全干净整洁拎包入住,林茂小区,1800 元/月,https://dl.zu.anjuke.com/fangyuan/1222582582
前城国际花园B区全封闭小区万达华府北京公园,前城国际花园B区,2100 元/月,https://dl.zu.anjuke.com/fangyuan/1223174652
华南紧邻亿合城地段繁华 适个种经营门脸宽6.7米两层270平,北府花园,25000 元/月,https://dl.zu.anjuke.com/fangyuan/1223416228
新上好房推荐 台山 真 实房源 首 次出租 供暖好 近南沙,台山小区,2500 元/月,https://dl.zu.anjuke.com/fangyuan/1223213233
东港全封闭小区 国滨苑 出门地铁口 小区环境优美 拎包入住,中国铁建国滨苑,4000 元/月,https://dl.zu.anjuke.com/fangyuan/1222536968
新起屯 乐购旁 无坡两室精装 家具家电齐全 拎包入住,新起屯,2200 元/月,https://dl.zu.anjuke.com/fangyuan/1222794822
华南考拉公寓特价房前三月1580仅此一套眞实房源 三包,华润置地考拉住区,1580 元/月,https://dl.zu.anjuke.com/fangyuan/1222208596
绿波精装修两室五楼，首，次出租，看房子预约,绿波小区,2200 元/月,https://dl.zu.anjuke.com/fangyuan/1222839658
兆达和谐福 近罗斯福 福佳 地铁精装一室 家电齐全真正拎包住,兆达和谐苑,2200 元/月,https://dl.zu.anjuke.com/fangyuan/1222795669
长春花园 北京街 万达高层 体育场 五一广场 银寰花园,长春花园,2200 元/月,https://dl.zu.anjuke.com/fangyuan/1222784839
骏腾名苑 多层两室南北通厅五明户型 租金低 随时看房,骏腾名苑,2300 元/月,https://dl.zu.anjuke.com/fangyuan/1222296623
惊爆价 富丽庭精装公寓  交通便利 有地铁 海景房,富丽庭,2100 元/月,https://dl.zu.anjuke.com/fangyuan/1222694429
锦云南园，1楼两室，浅色调装修，家电齐全，房主诚意急租,锦云南园,1800 元/月,https://dl.zu.anjuke.com/fangyuan/1223204943
金三角华联附近，三室，价钱便宜位置好，交通方便，近市场大超市,金家街散盘,1800 元/月,https://dl.zu.anjuke.com/fangyuan/1223350381
房源真实有效南沙台山精装两室好房 随时看房 近车站,南沙小区,2450 元/月,https://dl.zu.anjuke.com/fangyuan/1223338280
台山 五一路 低楼层 近车站 精装修 随时看房,台山小区,2500 元/月,https://dl.zu.anjuke.com/fangyuan/1223331901
华南红星国际100平办公价格便宜道边8号楼仅此一套有钥匙,红星国际广场小区,4500 元/月,https://dl.zu.anjuke.com/fangyuan/1223084100
急租！新起屯新林东巷6层精装修家具家电齐全1室南向拎包住,新起屯,1700 元/月,https://dl.zu.anjuke.com/fangyuan/1222523126
沙河口弘基书香园学苑广场近地铁二号线科技创业大厦数码广场拎包,弘基书香园一期,1000 元/月,https://dl.zu.anjuke.com/fangyuan/1222908789
菠萝地产菁英汇一线海景精装南向临万达近地铁交通便捷安心,菁英汇,2100 元/月,https://dl.zu.anjuke.com/fangyuan/1222492063
整租 金湾山城小区 两室一厅 精装修 家电齐全 拎包就住,金湾山城,1750 元/月,https://dl.zu.anjuke.com/fangyuan/1223514256
颐和星海，两室精装，家电齐全。中山路沿线，医大二院，圣亚海洋,颐和星海,3200 元/月,https://dl.zu.anjuke.com/fangyuan/1222329423
自己的房子出租，除了房租不收任何费用，看好了房租还能谈,飞扬公寓,1500 元/月,https://dl.zu.anjuke.com/fangyuan/1221889391
金三角汽贸后身精装两室家电齐全有空调便宜出租,金家街散盘,1550 元/月,https://dl.zu.anjuke.com/fangyuan/1222051706
中山广场延安路昆明街2室1厅新精装住宅惊爆价2600诚意出租,昆明街社区,2600 元/月,https://dl.zu.anjuke.com/fangyuan/1222265923
钻石湾精装两室出租 小区位置安静 家具家电齐全 拎包即住 ！,钻石湾,3600 元/月,https://dl.zu.anjuke.com/fangyuan/1221757257
新华绿洲精装修两室，南北通透，拎包入住，随时可看,新华绿洲,2700 元/月,https://dl.zu.anjuke.com/fangyuan/1222196654
岭湾峰尚精装修一室一厅家电齐全啥都有拎包入住,岭湾峰尚,1400 元/月,https://dl.zu.anjuke.com/fangyuan/1219122507
